SNR;SGL;FSP;gueltigVon;gueltigBis
141872;   ;GH;;
141872;   ;SG;;
141872;   ;SH;;
141872;   ;BL;;
141902;   ;LB;;
141902;   ;SB;;
141902;   ;EZ;;
141902;   ;GB;;
141902;   ;KB;;
141902;   ;GH;;
141902;   ;SG;;
141902;   ;SH;;
141902;   ;BL;;
141914;   ;LB;;
141914;   ;SB;;
141914;   ;EZ;;
141914;   ;GB;;
141914;   ;KB;;
141914;   ;GH;;
141914;   ;SG;;
141914;   ;SH;;
141914;   ;BL;;
142025;   ;EZ;;
142025;   ;LB;;
142025;   ;SB;;
142177;   ;EZ;;
142177;   ;LB;;
142177;   ;SB;;
142268;   ;EZ;;
142268;   ;LB;;
142268;   ;SB;;
142359;   ;LB;;
142359;   ;SB;;
142359;   ;EZ;;
142426;   ;LB;;
142426;   ;SB;;
142426;   ;EZ;;
142529;   ;LB;;
142529;   ;SB;;
142529;   ;EZ;;
142529;   ;KB;;
142797;   ;LB;;
142797;   ;SB;;
142797;   ;EZ;;
142797;   ;GB;;
142797;   ;GH;;
142797;   ;SG;;
142797;   ;SH;;
142797;   ;BL;;
142827;   ;LB;;
142827;   ;SB;;
142827;   ;EZ;;
142827;   ;GB;;
142827;   ;KB;;
142827;   ;GH;;
142827;   ;SG;;
142827;   ;SH;;
142827;   ;BL;;
142839;   ;LB;;
142839;   ;SB;;
142839;   ;EZ;;
142839;   ;GB;;
142839;   ;KB;;
142839;   ;GH;;
142839;   ;SG;;
142839;   ;SH;;
142839;   ;BL;;
142967;   ;LB;;
142967;   ;SB;;
142967;   ;EZ;;
142967;   ;GH;;
142967;   ;SG;;
142967;   ;SH;;
142967;   ;BL;;
143054;   ;LB;;
143054;   ;SB;;
143054;   ;EZ;;
143054;   ;GB;;
143054;   ;KB;;
143054;   ;GH;;
143054;   ;SG;;
143054;   ;SH;;
143054;   ;BL;;
143170;   ;LB;;
143170;   ;SB;;
143170;   ;EZ;;
143212;   ;EZ;;
143212;   ;LB;;
143212;   ;SB;;
143224;   ;LB;;
143224;   ;SB;;
143224;   ;EZ;;
143390;   ;LB;;
143390;   ;SB;;
143390;   ;EZ;;
143492;   ;LB;;
143492;   ;SB;;
143492;   ;EZ;;
143662;   ;LB;;
143662;   ;SB;;
143662;   ;EZ;;
143777;   ;LB;;
143777;   ;SB;;
143777;   ;EZ;;
143996;   ;LB;;
143996;   ;SB;;
143996;   ;EZ;;
144101;   ;EZ;;
144101;   ;LB;;
144101;   ;SB;;
144174;   ;EZ;;
144174;   ;LB;;
144174;   ;SB;;
144344;R  ;  ;;
144411;   ;LB;;
144411;   ;SB;;
144411;   ;EZ;;
144447;   ;LB;;
144447;   ;SB;;
144447;   ;EZ;;
144551;   ;EZ;;
144551;   ;LB;;
144551;   ;SB;;
144599;   ;LB;;
144599;   ;SB;;
144599;   ;EZ;;
144800;   ;LB;;
144800;   ;SB;;
144800;   ;EZ;;
144836;   ;LB;;
144836;   ;SB;;
144836;   ;EZ;;
144976;   ;LB;;
144976;   ;SB;;
144976;   ;EZ;;
145233;   ;EZ;;
145233;   ;LB;;
145233;   ;SB;;
145245;   ;LB;;
145245;   ;SB;;
145245;   ;EZ;;
145403;   ;EZ;;
145403;   ;LB;;
145403;   ;SB;;
145464;   ;EZ;;
145464;   ;LB;;
145464;   ;SB;;
145476;   ;EZ;;
145476;   ;LB;;
145476;   ;SB;;
145490;   ;EZ;;
145490;   ;LB;;
145490;   ;SB;;
145506;   ;EZ;;
145506;   ;LB;;
145506;   ;SB;;
145634;   ;EZ;;
145634;   ;LB;;
145634;   ;SB;;
145634;R  ;EZ;;
145634;R  ;LB;;
145634;R  ;SB;;
145634;R  ;  ;;
146547;   ;LB;;
146547;   ;SB;;
146547;   ;EZ;;
146584;   ;LB;;
146584;   ;SB;;
146584;   ;EZ;;
147084;   ;LB;;
147084;   ;SB;;
147084;   ;EZ;;
147370;   ;EZ;;
147370;   ;LB;;
147370;   ;SB;;
147709;   ;EZ;;
147709;   ;LB;;
147709;   ;SB;;
147801;   ;EZ;;
147801;   ;LB;;
147801;   ;SB;;
147898;   ;EZ;;
147898;   ;LB;;
147898;   ;SB;;
147941;   ;EZ;;
