Name;Revision;Veraltet;Migration;ImpExp;JavaKlasse;JavaPackage;JavaKommentar
EigeneSchule_Zertifikate;0;-1;1;1;DTOZertifikate;schild.berufskolleg;Liste von Zertifikaten, die angelegt werden können (nur BK)
ErzieherLernplattform;0;-1;1;1;DTOErzieherLernplattform;schild.erzieher;Tabelle zur Speicherung der CredentialID und den Einwilligungen zu den Lernplattformen bei den Erziehern
ErzieherDatenschutz;0;-1;1;1;DTOErzieherDatenschutz;schild.erzieher;Tabelle zur Speicherung der Einwilligungen zu Datenschutz bei den Erziehern
Fach_Gliederungen;0;-1;1;1;DTOFachgliederungen;schild.berufskolleg;Gliederungsspezifische Einstellungen zu den Unterrichtsfächern (nur BK)
Floskelgruppen;0;-1;1;1;DTOFloskelgruppen;schild.katalog;Liste der Floskelgruppen, diese Liste kann erweitert werden um Textbausteinen zu verwalten und die Anzeige in den Editoren zu steuern
Floskeln;0;-1;1;1;DTOFloskeln;schild.katalog;Textbausteine, die in den Editoren angezeigt und ausgewählt werden können
Gost_Jahrgang_Beratungslehrer;4;-1;0;1;DTOGostJahrgangBeratungslehrer;gost;Gymnasiale Oberstufe - Jahrgangsdaten: Die Beratungslehrer in den einzelnen Jahrgängen
Gost_Jahrgang_Faecher;4;-1;0;1;DTOGostJahrgangFaecher;gost;Gymnasiale Oberstufe - Jahrgangsdaten: Informationen zu den wählbaren Fächern der einzelnen Jahrgänge
Gost_Jahrgangsdaten;4;-1;0;1;DTOGostJahrgangsdaten;gost;Gymnasiale Oberstufe - Allgemeine Informationen zu den Jahrgängen
Gost_Jahrgang_Fachkombinationen;4;-1;0;1;DTOGostJahrgangFachkombinationen;gost;Gymnasiale Oberstufe - Jahrgangsdaten: Zu erzwingende Fachkombinationen oder nicht mögliche Fachkombinationen in einem Jahrgang
Gost_Schueler;4;-1;0;1;DTOGostSchueler;gost;Gymnasiale Oberstufe: Zusatzinformationen für Schüler der gymnasialen Oberstufe 
Gost_Schueler_Fachwahlen;4;-1;0;1;DTOGostSchuelerFachbelegungen;gost;Gymnasiale Oberstufe - Schülerdaten: Informationen zu den vom Schüler gewählten Fächern
ImpExp_EigeneImporte;0;-1;0;1;DTOEigeneImporte;schild.impexp;"Importschemata, die im Programm ""Externimport.exe"" definiert werden"
ImpExp_EigeneImporte_Felder;0;-1;0;1;DTOEigeneImporteFelder;schild.impexp;"Importschemata, die im Programm ""Externimport.exe"" definiert werden - Hier die Spaltendefinitionen"
ImpExp_EigeneImporte_Tabellen;0;-1;0;1;DTOEigeneImporteTabellen;schild.impexp;"Importschemata, die im Programm ""Externimport.exe"" definiert werden - Hier die Tabellendefinitionen"
K_Adressart;0;-1;1;1;DTOKatalogAdressart;schild.katalog;Katalog der Arten, die den weiteren Adressen/Betrieben zugeordnet werden können
K_AllgAdresse;0;-1;1;1;DTOKatalogAllgemeineAdresse;schild.katalog;Katalog der weiteren Adressen und Betriebe
