Fach;Bezeichnung;FachkuerzelAtomar;Kurzbezeichnung;Aufgabenfeld;Fachgruppe_ID;SchulformenUndGliederungen;SchulformenAusgelaufen;AusgelaufenInSchuljahr;AbJahrgang;IstFremdsprache;IstHKFS;IstAusRegUFach;IstErsatzPflichtFS;IstKonfKoop;NurSII;ExportASD;gueltigVon;gueltigBis
QH;Herkunftssprache anstelle einer Pflichtfremdsprache - Farsi;QH;Herkunftssprache anstelle einer Pflichtfremdsprache - Farsi;;;GE,GM,GY,H,PS,R,S,SG,SK,SR;;;;1;1;0;1;0;0;1;;
QM;Unterricht in der Herkunftssprache - Farsi;QM;Unterricht in der Herkunftssprache - Farsi;;;BK,G,GE,GM,GY,H,PS,R,S,SG,SK,SR,V;;;;1;1;0;0;0;0;1;;
R;Russisch;R;Russisch;1;3;BK,FW,H,S,SB,(SK,H),WB;;;;1;0;0;0;0;0;1;;
R0;Russisch, regulärer Beginn in der Einführungsphase;R;Russisch, regulärer Beginn in der Einführungsphase;1;3;GE,GM,GY,PS,SG;;;EF;1;0;0;0;0;1;1;;
R5;Russisch, regulärer Beginn in Jahrgang 5;R;Russisch, regulärer Beginn in Jahrgang 5;1;3;GE,GM,GY,PS,R,SG,SK,SR;;;5;1;0;0;0;0;0;1;;
R6;Russisch, regulärer Beginn in Jahrgang 6;R;Russisch, regulärer Beginn in Jahrgang 6;1;3;GE,GM,GY,PS,R,SG,SK,SR;;;6;1;0;0;0;0;0;1;;
R7;Russisch, regulärer Beginn in Jahrgang 7;R;Russisch, regulärer Beginn in Jahrgang 7;1;3;GE,GM,GY,PS,R,SG,SK,SR;;;7;1;0;0;0;0;0;1;;
R8;Russisch, regulärer Beginn in Jahrgang 8;R;Russisch, regulärer Beginn in Jahrgang 8;1;3;GE,GM,GY,PS,R,SG,SK,SR;;;8;1;0;0;0;0;0;1;;
RE;Rechnungswesen;RE;Rechnungswesen;;;BK,SB;;;;0;0;0;0;0;0;1;;
RH;Herkunftssprache anstelle einer Pflichtfremdsprache - Arabisch;RH;Herkunftssprache anstelle einer Pflichtfremdsprache - Arabisch;;;GE,GM,GY,(H,R),PS,R,S,SG,SK,SR;;;;1;1;0;1;0;0;1;;
RK;Rechtskunde;RK;Rechtskunde;2;6;GE,GY,SG,SK,WB;;;;0;0;0;0;0;0;1;;
RM;Unterricht in der Herkunftssprache - Russisch;RM;Unterricht in der Herkunftssprache - Russisch;;;G,GE,GM,GY,H,PS,R,S,SG,SK,SR,V;;;;1;0;0;0;0;0;1;;
RQ;Russisch, außerhalb des regulären Fachunterrichts;R;Russisch, außerhalb des regulären Fachunterrichts;;;GE,GM,GY,H,PS,R,S,SG,SK,SR;;;;1;0;1;0;0;0;1;;
RW;Recht und Verwaltung;RW;Recht und Verwaltung;;;BK,SB;;;;0;0;0;0;0;0;1;;
